base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2012-06-01	2373.44	0.8680	1450.00	1670.51	1450.00	1670.51	0.87	1450.00%	
2	2012-06-30	2226.11	0.8440	1500.00	1777.25	2950.00	3447.76	0.86	2909.91%	
3	2012-08-01	2123.36	0.8120	1550.00	1908.87	4500.00	5356.63	0.84	4349.58%	
4	2012-09-03	2059.15	0.7610	1600.00	2102.50	6100.00	7459.12	0.82	5676.39%	
5	2012-09-30	2074.42	0.7730	1600.00	2069.86	7700.00	9528.98	0.81	7365.90%	
6	2012-11-01	2104.43	0.7680	1550.00	2018.23	9250.00	11547.21	0.80	8868.26%	
7	2012-12-03	1959.77	0.6810	1650.00	2422.91	10900.00	13970.12	0.78	9513.65%	
8	2013-01-04	2276.99	0.7650	1500.00	1960.78	12400.00	15930.90	0.78	12187.14%	
9	2013-02-01	2419.02	0.8150	1400.00	1717.79	13800.00	17648.69	0.78	14383.68%	
10	2013-03-01	2359.51	0.8220	1450.00	1763.99	15250.00	19412.68	0.79	15957.23%	
11	2013-04-01	2234.40	0.7990	1500.00	1877.35	16750.00	21290.03	0.79	17010.73%	
12	2013-05-02	2174.12	0.7870	1550.00	1969.50	18300.00	23259.53	0.79	18305.25%	
13	2013-06-03	2299.25	0.8650	1500.00	1734.10	19800.00	24993.64	0.79	21619.50%	
14	2013-06-30	1995.24	0.7740	1650.00	2131.78	21450.00	27125.42	0.79	20995.08%	
15	2013-08-01	2029.07	0.8500	1600.00	1882.35	23050.00	29007.77	0.79	24656.61%	
16	2013-09-02	2098.45	0.8400	1600.00	1904.76	24650.00	30912.54	0.80	25966.53%	
17	2013-10-08	2198.20	0.9080	1550.00	1707.05	26200.00	32619.58	0.80	29618.58%	
18	2013-11-01	2149.56	0.8930	1550.00	1735.72	27750.00	34355.31	0.81	30679.29%	
19	2013-12-02	2207.37	0.8960	1500.00	1674.11	29250.00	36029.41	0.81	32282.36%	
20	2014-01-02	2109.39	0.9270	1550.00	1672.06	30800.00	37701.47	0.82	34949.27%	
21	2014-02-07	2044.50	0.9780	1600.00	1635.99	32400.00	39337.47	0.82	38472.04%	
22	2014-03-03	2075.24	0.9650	1600.00	1658.03	34000.00	40995.50	0.83	39560.65%	
23	2014-04-01	2047.46	0.8880	1600.00	1801.80	35600.00	42797.30	0.83	38004.00%	
24	2014-05-05	2027.35	0.8800	1600.00	1818.18	37200.00	44615.48	0.83	39261.62%	
25	2014-06-03	2038.31	0.8920	1600.00	1793.72	38800.00	46409.20	0.84	41397.01%	
26	2014-07-01	2050.38	0.9150	1600.00	1748.63	40400.00	48157.84	0.84	44064.42%	
27	2014-08-01	2185.30	0.9260	1550.00	1673.87	41950.00	49831.70	0.84	46144.16%	
28	2014-09-01	2235.51	0.9930	1500.00	1510.57	43450.00	51342.28	0.85	50982.88%	
29	2014-10-08	2382.79	1.0420	1450.00	1391.55	44900.00	52733.83	0.85	54948.65%	
30	2014-11-03	2430.03	1.0290	1400.00	1360.54	46300.00	54094.38	0.86	55663.11%	
31	2014-12-01	2680.16	1.0360	1300.00	1254.83	47600.00	55349.20	0.86	57341.77%	
32	2015-01-05	3350.52	1.0820	1000.00	924.21	48600.00	56273.42	0.86	60887.84%	
33	2015-02-02	3128.30	1.1180	1050.00	939.18	49650.00	57212.59	0.87	63963.68%	
34	2015-03-02	3336.28	1.1970	1000.00	835.42	50650.00	58048.01	0.87	69483.48%	
35	2015-04-01	3810.29	1.4330	750.00	523.38	51400.00	58571.39	0.88	83932.80%	
36	2015-05-04	4480.46	1.6210	500.00	308.45	51900.00	58879.84	0.88	95444.23%	
37	2015-06-01	4828.74	2.1710	500.00	230.31	52400.00	59110.15	0.89	128328.14%	
38	2015-07-01	4053.70	1.7030	650.00	381.68	53050.00	59491.83	0.89	101314.59%	
39	2015-08-03	3622.91	1.4930	850.00	569.32	53900.00	60061.16	0.90	89671.31%	
40	2015-09-01	3166.62	1.3150	1050.00	798.48	54950.00	60859.63	0.90	80030.42%	
41	2015-10-08	3143.36	1.5020	1050.00	699.07	56000.00	61558.70	0.91	92461.17%	
42	2015-11-02	3325.08	1.7190	1000.00	581.73	57000.00	62140.44	0.92	106819.41%	
43	2015-12-01	3456.31	2.0390	950.00	465.91	57950.00	62606.35	0.93	127654.35%	
44	2016-01-04	3296.26	1.9930	1000.00	501.76	58950.00	63108.11	0.93	125774.46%	
45	2016-02-01	2688.85	1.7090	1300.00	760.68	60250.00	63868.79	0.94	109151.75%	
46	2016-03-01	2733.17	1.6740	1250.00	746.71	61500.00	64615.50	0.95	108166.35%	
47	2016-04-01	3009.53	1.9220	1100.00	572.32	62600.00	65187.82	0.96	125290.99%	
48	2016-05-03	2992.64	2.0690	1150.00	555.82	63750.00	65743.64	0.97	136023.60%	
49	2016-06-01	2913.51	2.1530	1150.00	534.14	64900.00	66277.78	0.98	142696.07%	
50	2016-07-01	2932.48	2.1930	1150.00	524.40	66050.00	66802.18	0.99	146497.18%	
51	2016-08-01	2953.39	2.2020	1150.00	522.25	67200.00	67324.43	1.00	148248.39%	
