base[3300],ratio[0.1],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2012-06-01	2373.44	0.7340	1900.00	2588.56	1900.00	2588.56	0.73	1900.00%	
2	2012-06-30	2226.11	0.6750	2000.00	2962.96	3900.00	5551.52	0.70	3747.28%	
3	2012-08-01	2123.36	0.6560	2000.00	3048.78	5900.00	8600.30	0.69	5641.80%	
4	2012-09-03	2059.15	0.6490	2000.00	3081.66	7900.00	11681.96	0.68	7581.59%	
5	2012-09-30	2074.42	0.6330	2000.00	3159.56	9900.00	14841.52	0.67	9394.68%	
6	2012-11-01	2104.43	0.6220	2000.00	3215.43	11900.00	18056.96	0.66	11231.43%	
7	2012-12-03	1959.77	0.5780	2000.00	3460.21	13900.00	21517.16	0.65	12436.92%	
8	2013-01-04	2276.99	0.6510	2000.00	3072.20	15900.00	24589.36	0.65	16007.67%	
9	2013-02-01	2419.02	0.7040	1800.00	2556.82	17700.00	27146.18	0.65	19110.91%	
10	2013-03-01	2359.51	0.7140	1900.00	2661.06	19600.00	29807.24	0.66	21282.37%	
11	2013-04-01	2234.40	0.7080	2000.00	2824.86	21600.00	32632.10	0.66	23103.53%	
12	2013-05-02	2174.12	0.7070	2000.00	2828.85	23600.00	35460.96	0.67	25070.90%	
13	2013-06-03	2299.25	0.7780	2000.00	2570.69	25600.00	38031.65	0.67	29588.62%	
14	2013-06-30	1995.24	0.7070	2000.00	2828.85	27600.00	40860.50	0.68	28888.38%	
15	2013-08-01	2029.07	0.7320	2000.00	2732.24	29600.00	43592.74	0.68	31909.89%	
16	2013-09-02	2098.45	0.7640	2000.00	2617.80	31600.00	46210.54	0.68	35304.86%	
17	2013-10-08	2198.20	0.7930	2000.00	2522.07	33600.00	48732.61	0.69	38644.96%	
18	2013-11-01	2149.56	0.7820	2000.00	2557.54	35600.00	51290.16	0.69	40108.90%	
19	2013-12-02	2207.37	0.7950	2000.00	2515.72	37600.00	53805.88	0.70	42775.68%	
20	2014-01-02	2109.39	0.8450	2000.00	2366.86	39600.00	56172.74	0.70	47465.97%	
21	2014-02-07	2044.50	0.9090	2000.00	2200.22	41600.00	58372.96	0.71	53061.02%	
22	2014-03-03	2075.24	0.9380	2000.00	2132.20	43600.00	60505.16	0.72	56753.84%	
23	2014-04-01	2047.46	0.8780	2000.00	2277.90	45600.00	62783.07	0.73	55123.53%	
24	2014-05-05	2027.35	0.8470	2000.00	2361.28	47600.00	65144.34	0.73	55177.26%	
25	2014-06-03	2038.31	0.8460	2000.00	2364.07	49600.00	67508.41	0.73	57112.11%	
26	2014-07-01	2050.38	0.8640	2000.00	2314.81	51600.00	69823.22	0.74	60327.26%	
27	2014-08-01	2185.30	0.9080	2000.00	2202.64	53600.00	72025.86	0.74	65399.48%	
28	2014-09-01	2235.51	0.9450	2000.00	2116.40	55600.00	74142.27	0.75	70064.44%	
29	2014-10-08	2382.79	1.0190	1900.00	1864.57	57500.00	76006.84	0.76	77450.97%	
