base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2012-06-01	2373.44	0.9956	1450.00	1456.41	1450.00	1456.41	1.00	1450.00%	
2	2012-06-30	2226.11	0.9890	1500.00	1516.68	2950.00	2973.09	0.99	2940.39%	
3	2012-08-01	2123.36	0.9894	1550.00	1566.61	4500.00	4539.70	0.99	4491.58%	
4	2012-09-03	2059.15	0.9867	1600.00	1621.57	6100.00	6161.26	0.99	6079.32%	
5	2012-09-30	2074.42	0.9908	1600.00	1614.86	7700.00	7776.12	0.99	7704.58%	
6	2012-11-01	2104.43	0.9932	1550.00	1560.61	9250.00	9336.73	0.99	9273.24%	
7	2012-12-03	1959.77	0.9878	1650.00	1670.38	10900.00	11007.11	0.99	10872.83%	
8	2013-01-04	2276.99	1.0029	1500.00	1495.66	12400.00	12502.77	0.99	12539.03%	
9	2013-02-01	2419.02	1.0189	1400.00	1374.03	13800.00	13876.81	0.99	14139.08%	
10	2013-03-01	2359.51	1.0198	1450.00	1421.85	15250.00	15298.65	1.00	15601.57%	
11	2013-04-01	2234.40	1.0199	1500.00	1470.73	16750.00	16769.39	1.00	17103.10%	
12	2013-05-02	2174.12	1.0219	1550.00	1516.78	18300.00	18286.17	1.00	18686.64%	
13	2013-06-03	2299.25	1.0220	1500.00	1467.71	19800.00	19753.88	1.00	20188.46%	
14	2013-06-30	1995.24	0.9748	1650.00	1692.66	21450.00	21446.53	1.00	20906.08%	
15	2013-08-01	2029.07	1.0049	1600.00	1592.20	23050.00	23038.73	1.00	23151.62%	
16	2013-09-02	2098.45	1.0215	1600.00	1566.32	24650.00	24605.06	1.00	25134.06%	
17	2013-10-08	2198.20	1.0644	1550.00	1456.22	26200.00	26061.28	1.01	27739.62%	
18	2013-11-01	2149.56	1.0562	1550.00	1467.53	27750.00	27528.80	1.01	29075.92%	
19	2013-12-02	2207.37	1.0542	1500.00	1422.88	29250.00	28951.68	1.01	30520.86%	
20	2014-01-02	2109.39	1.0409	1550.00	1489.10	30800.00	30440.78	1.01	31685.80%	
21	2014-02-07	2044.50	0.9886	1600.00	1618.45	32400.00	32059.23	1.01	31693.75%	
22	2014-03-03	2075.24	0.9668	1600.00	1654.94	34000.00	33714.17	1.01	32594.86%	
23	2014-04-01	2047.46	0.9536	1600.00	1677.85	35600.00	35392.02	1.01	33749.83%	
24	2014-05-05	2027.35	0.9453	1600.00	1692.58	37200.00	37084.61	1.00	35056.08%	
25	2014-06-03	2038.31	0.9281	1600.00	1723.95	38800.00	38808.56	1.00	36018.22%	
26	2014-07-01	2050.38	0.9504	1600.00	1683.50	40400.00	40492.06	1.00	38483.65%	
27	2014-08-01	2185.30	1.0329	1550.00	1500.63	41950.00	41992.69	1.00	43374.25%	
28	2014-09-01	2235.51	1.0290	1500.00	1457.73	43450.00	43450.42	1.00	44710.48%	
29	2014-10-08	2382.79	1.0909	1450.00	1329.18	44900.00	44779.59	1.00	48850.06%	
30	2014-11-03	2430.03	1.1304	1400.00	1238.50	46300.00	46018.09	1.01	52018.85%	
31	2014-12-01	2680.16	1.2678	1300.00	1025.40	47600.00	47043.49	1.01	59641.74%	
32	2015-01-05	3350.52	1.7084	1000.00	585.34	48600.00	47628.84	1.02	81369.10%	
33	2015-02-02	3128.30	1.6027	1050.00	655.14	49650.00	48283.98	1.03	77384.73%	
34	2015-03-02	3336.28	1.7288	1000.00	578.44	50650.00	48862.42	1.04	84473.35%	
35	2015-04-01	3810.29	2.0203	750.00	371.23	51400.00	49233.65	1.04	99466.73%	
36	2015-05-04	4480.46	2.3564	500.00	212.19	51900.00	49445.84	1.05	116514.17%	
37	2015-06-01	4828.74	2.5380	500.00	197.01	52400.00	49642.84	1.06	125993.54%	
38	2015-07-01	4053.70	2.1868	650.00	297.24	53050.00	49940.08	1.06	109208.97%	
39	2015-08-03	3622.91	2.0187	850.00	421.06	53900.00	50361.14	1.07	101664.03%	
40	2015-09-01	3166.62	1.7462	1050.00	601.31	54950.00	50962.45	1.08	88990.62%	
41	2015-10-08	3143.36	1.7297	1050.00	607.04	56000.00	51569.49	1.09	89199.74%	
42	2015-11-02	3325.08	1.8252	1000.00	547.89	57000.00	52117.37	1.09	95124.63%	
43	2015-12-01	3456.31	1.9101	950.00	497.36	57950.00	52614.73	1.10	100499.40%	
44	2016-01-04	3296.26	1.8387	1000.00	543.86	58950.00	53158.59	1.11	97742.71%	
45	2016-02-01	2688.85	1.5440	1300.00	841.97	60250.00	54000.56	1.12	83376.87%	
46	2016-03-01	2733.17	1.5745	1250.00	793.90	61500.00	54794.47	1.12	86273.88%	
47	2016-04-01	3009.53	1.7423	1100.00	631.35	62600.00	55425.81	1.13	96568.40%	
