base[3300],ratio[0.05],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2012-06-01	2373.44	0.7340	1450.00	1975.48	1450.00	1975.48	0.73	1450.00%	
2	2012-06-30	2226.11	0.6750	1500.00	2222.22	2950.00	4197.70	0.70	2833.45%	
3	2012-08-01	2123.36	0.6560	1550.00	2362.80	4500.00	6560.50	0.69	4303.69%	
4	2012-09-03	2059.15	0.6490	1600.00	2465.33	6100.00	9025.84	0.68	5857.77%	
5	2012-09-30	2074.42	0.6330	1600.00	2527.65	7700.00	11553.48	0.67	7313.35%	
6	2012-11-01	2104.43	0.6220	1550.00	2491.96	9250.00	14045.44	0.66	8736.27%	
7	2012-12-03	1959.77	0.5780	1650.00	2854.67	10900.00	16900.11	0.64	9768.27%	
8	2013-01-04	2276.99	0.6510	1500.00	2304.15	12400.00	19204.26	0.65	12501.97%	
9	2013-02-01	2419.02	0.7040	1400.00	1988.64	13800.00	21192.90	0.65	14919.80%	
10	2013-03-01	2359.51	0.7140	1450.00	2030.81	15250.00	23223.71	0.66	16581.73%	
11	2013-04-01	2234.40	0.7080	1500.00	2118.64	16750.00	25342.35	0.66	17942.39%	
12	2013-05-02	2174.12	0.7070	1550.00	2192.36	18300.00	27534.72	0.66	19467.04%	
13	2013-06-03	2299.25	0.7780	1500.00	1928.02	19800.00	29462.74	0.67	22922.01%	
14	2013-06-30	1995.24	0.7070	1650.00	2333.80	21450.00	31796.54	0.67	22480.16%	
15	2013-08-01	2029.07	0.7320	1600.00	2185.79	23050.00	33982.33	0.68	24875.07%	
16	2013-09-02	2098.45	0.7640	1600.00	2094.24	24650.00	36076.58	0.68	27562.50%	
17	2013-10-08	2198.20	0.7930	1550.00	1954.60	26200.00	38031.18	0.69	30158.72%	
18	2013-11-01	2149.56	0.7820	1550.00	1982.10	27750.00	40013.28	0.69	31290.38%	
19	2013-12-02	2207.37	0.7950	1500.00	1886.79	29250.00	41900.07	0.70	33310.55%	
20	2014-01-02	2109.39	0.8450	1550.00	1834.32	30800.00	43734.39	0.70	36955.56%	
21	2014-02-07	2044.50	0.9090	1600.00	1760.18	32400.00	45494.56	0.71	41354.56%	
22	2014-03-03	2075.24	0.9380	1600.00	1705.76	34000.00	47200.32	0.72	44273.90%	
23	2014-04-01	2047.46	0.8780	1600.00	1822.32	35600.00	49022.64	0.73	43041.88%	
24	2014-05-05	2027.35	0.8470	1600.00	1889.02	37200.00	50911.66	0.73	43122.18%	
25	2014-06-03	2038.31	0.8460	1600.00	1891.25	38800.00	52802.92	0.73	44671.27%	
26	2014-07-01	2050.38	0.8640	1600.00	1851.85	40400.00	54654.77	0.74	47221.72%	
27	2014-08-01	2185.30	0.9080	1550.00	1707.05	41950.00	56361.82	0.74	51176.53%	
28	2014-09-01	2235.51	0.9450	1500.00	1587.30	43450.00	57949.12	0.75	54761.92%	
