base[3300],ratio[0.0],max[2.0],min[0.5]
编号	日期	指数	净值	钱(当期)	份额(当期)	钱(总)	份额(总)	成本(总)	市值	收益率
1	2012-06-01	2373.44	0.8680	1000.00	1152.07	1000.00	1152.07	0.87	1000.00%	
2	2012-06-30	2226.11	0.8440	1000.00	1184.83	2000.00	2336.91	0.86	1972.35%	
3	2012-08-01	2123.36	0.8120	1000.00	1231.53	3000.00	3568.44	0.84	2897.57%	
4	2012-09-03	2059.15	0.7610	1000.00	1314.06	4000.00	4882.50	0.82	3715.58%	
5	2012-09-30	2074.42	0.7730	1000.00	1293.66	5000.00	6176.16	0.81	4774.17%	
6	2012-11-01	2104.43	0.7680	1000.00	1302.08	6000.00	7478.24	0.80	5743.29%	
7	2012-12-03	1959.77	0.6810	1000.00	1468.43	7000.00	8946.67	0.78	6092.68%	
8	2013-01-04	2276.99	0.7650	1000.00	1307.19	8000.00	10253.86	0.78	7844.20%	
9	2013-02-01	2419.02	0.8150	1000.00	1226.99	9000.00	11480.85	0.78	9356.89%	
10	2013-03-01	2359.51	0.8220	1000.00	1216.54	10000.00	12697.40	0.79	10437.26%	
11	2013-04-01	2234.40	0.7990	1000.00	1251.56	11000.00	13948.96	0.79	11145.22%	
12	2013-05-02	2174.12	0.7870	1000.00	1270.65	12000.00	15219.61	0.79	11977.83%	
13	2013-06-03	2299.25	0.8650	1000.00	1156.07	13000.00	16375.68	0.79	14164.96%	
14	2013-06-30	1995.24	0.7740	1000.00	1291.99	14000.00	17667.67	0.79	13674.78%	
15	2013-08-01	2029.07	0.8500	1000.00	1176.47	15000.00	18844.14	0.80	16017.52%	
16	2013-09-02	2098.45	0.8400	1000.00	1190.48	16000.00	20034.62	0.80	16829.08%	
17	2013-10-08	2198.20	0.9080	1000.00	1101.32	17000.00	21135.94	0.80	19191.43%	
18	2013-11-01	2149.56	0.8930	1000.00	1119.82	18000.00	22255.76	0.81	19874.39%	
19	2013-12-02	2207.37	0.8960	1000.00	1116.07	19000.00	23371.83	0.81	20941.16%	
20	2014-01-02	2109.39	0.9270	1000.00	1078.75	20000.00	24450.58	0.82	22665.69%	
21	2014-02-07	2044.50	0.9780	1000.00	1022.49	21000.00	25473.07	0.82	24912.66%	
22	2014-03-03	2075.24	0.9650	1000.00	1036.27	22000.00	26509.34	0.83	25581.51%	
23	2014-04-01	2047.46	0.8880	1000.00	1126.13	23000.00	27635.47	0.83	24540.30%	
24	2014-05-05	2027.35	0.8800	1000.00	1136.36	24000.00	28771.83	0.83	25319.21%	
25	2014-06-03	2038.31	0.8920	1000.00	1121.08	25000.00	29892.91	0.84	26664.47%	
26	2014-07-01	2050.38	0.9150	1000.00	1092.90	26000.00	30985.80	0.84	28352.01%	
27	2014-08-01	2185.30	0.9260	1000.00	1079.91	27000.00	32065.72	0.84	29692.85%	
28	2014-09-01	2235.51	0.9930	1000.00	1007.05	28000.00	33072.77	0.85	32841.26%	
29	2014-10-08	2382.79	1.0420	1000.00	959.69	29000.00	34032.46	0.85	35461.83%	
30	2014-11-03	2430.03	1.0290	1000.00	971.82	30000.00	35004.28	0.86	36019.40%	
31	2014-12-01	2680.16	1.0360	1000.00	965.25	31000.00	35969.53	0.86	37264.43%	
32	2015-01-05	3350.52	1.0820	1000.00	924.21	32000.00	36893.74	0.87	39919.03%	
33	2015-02-02	3128.30	1.1180	1000.00	894.45	33000.00	37788.20	0.87	42247.21%	
34	2015-03-02	3336.28	1.1970	1000.00	835.42	34000.00	38623.62	0.88	46232.47%	
35	2015-04-01	3810.29	1.4330	1000.00	697.84	35000.00	39321.46	0.89	56347.64%	
36	2015-05-04	4480.46	1.6210	1000.00	616.90	36000.00	39938.36	0.90	64740.08%	
37	2015-06-01	4828.74	2.1710	1000.00	460.62	37000.00	40398.98	0.92	87706.18%	
38	2015-07-01	4053.70	1.7030	1000.00	587.20	38000.00	40986.18	0.93	69799.45%	
39	2015-08-03	3622.91	1.4930	1000.00	669.79	39000.00	41655.97	0.94	62192.36%	
40	2015-09-01	3166.62	1.3150	1000.00	760.46	40000.00	42416.42	0.94	55777.60%	
41	2015-10-08	3143.36	1.5020	1000.00	665.78	41000.00	43082.20	0.95	64709.47%	
42	2015-11-02	3325.08	1.7190	1000.00	581.73	42000.00	43663.94	0.96	75058.31%	
43	2015-12-01	3456.31	2.0390	1000.00	490.44	43000.00	44154.37	0.97	90030.77%	
44	2016-01-04	3296.26	1.9930	1000.00	501.76	44000.00	44656.13	0.99	88999.67%	
45	2016-02-01	2688.85	1.7090	1000.00	585.14	45000.00	45241.27	0.99	77317.32%	
46	2016-03-01	2733.17	1.6740	1000.00	597.37	46000.00	45838.64	1.00	76733.88%	
47	2016-04-01	3009.53	1.9220	1000.00	520.29	47000.00	46358.93	1.01	89101.86%	
48	2016-05-03	2992.64	2.0690	1000.00	483.33	48000.00	46842.25	1.02	96916.63%	
49	2016-06-01	2913.51	2.1530	1000.00	464.47	49000.00	47306.72	1.04	101851.38%	
50	2016-07-01	2932.48	2.1930	1000.00	456.00	50000.00	47762.72	1.05	104743.65%	
51	2016-08-01	2953.39	2.2020	1000.00	454.13	51000.00	48216.85	1.06	106173.50%	
52	2016-09-01	3063.31	2.3210	1000.00	430.85	52000.00	48647.70	1.07	112911.32%	
53	2016-10-10	3048.14	2.4040	1000.00	415.97	53000.00	49063.67	1.08	117949.07%	
54	2016-11-01	3122.44	2.3460	1000.00	426.26	54000.00	49489.93	1.09	116103.38%	
55	2016-12-01	3273.31	2.2950	1000.00	435.73	55000.00	49925.66	1.10	114579.40%	
56	2016-12-31	3135.92	2.2090	1000.00	452.69	56000.00	50378.35	1.11	111285.79%	
57	2017-02-03	3140.17	2.2330	1000.00	447.83	57000.00	50826.18	1.12	113494.87%	
58	2017-03-01	3246.93	2.3200	1000.00	431.03	58000.00	51257.22	1.13	118916.74%	
59	2017-04-05	3270.31	2.5300	1000.00	395.26	59000.00	51652.47	1.14	130680.76%	
60	2017-05-02	3143.71	2.5800	1000.00	387.60	60000.00	52040.07	1.15	134263.38%	
